"ff" "t" "td" "hu" "dd" "precip_log" "ws_arome" "p3031_arome" "u10_arome" "v10_arome" "t2m_arome" "d2m_arome" "r_arome" "tp_arome_log" "msl_arome" "rain" "rain_class" "rain_log" "month2" "month3" "month4" "month5" "month6" "month7" "month8" "month9" "month10" "month11" "month12"
"1" -0.086213046339966 1.16477666973178 0.910535088693221 -0.798234708488035 0.52005372860748 -0.820398516270391 -0.0365952573704478 0.529785323847456 0.801952676026636 0.400758054852018 1.11870270311165 0.920853493205923 -0.698998412970286 -0.362134317741629 0.153300956680206 0.2 "low_rain" 0.182321556793955 0 0 0 0 1 0 0 0 0 0 0
"2" -0.215295657838833 -1.47152947473495 -1.66133318649888 -0.454718366836254 0.695887645589601 0.0788953714556668 -0.257664399226429 1.32314331165832 0.556897737422088 -0.888708630409499 -1.5527260581581 -1.58241522705975 0.181455905702885 0.353513100417005 -0.905491413799129 4.2 "high_rain" 1.64865862558738 0 1 0 0 0 0 0 0 0 0 0
"4" -1.46867996056717 0.129100020759424 -0.187510109674472 -1.05685343998873 0.129012042067481 -0.820398516270391 -1.31752315829353 -0.827819903887032 -0.605043826495908 -0.693706253741608 0.221931144252581 -0.124915976040794 -1.14004178233084 -0.669846658094465 0.688715913156063 0 "no_rain" 0 0 0 0 1 0 0 0 0 0 0 0
"5" 1.02840090325571 -1.23848537199974 -1.42124032020553 -0.491032951525154 1.0222051909092 0.269432900571825 0.464623166600866 1.06349774992916 1.18643478498024 -0.71704383189066 -1.16604851173065 -1.38254537494694 -0.530326755686548 0.492692957450566 0.87599098637767 0 "no_rain" 0 1 0 0 0 0 0 0 0 0 0 0
"6" -1.46553799030756 -1.27380019263134 -1.28880957882025 0.0757690122002786 -0.850479961734794 -0.612447306899028 -1.27793928202319 -0.588189722820679 -0.432198717978518 0.10739545887315 -1.65513748973488 -1.70903618980959 0.051942779177633 -0.941000621834249 1.8945690987104 0.2 "low_rain" 0.182321556793955 0 0 0 0 0 0 0 0 0 0 1
"8" 2.362167278459 -1.24379523763168 -1.36148829286384 -0.337922810674646 -2.06459697746107 -0.820398516270391 1.53127621259018 -2.01256230273419 -2.38693803883196 -1.73431548132467 -1.09883961565577 -1.22700863907894 -0.290238138418976 -1.03059214864592 0.465575146436475 0 "no_rain" 0 0 1 0 0 0 0 0 0 0 0 0
"9" -0.517448464471064 0.27145498984425 0.202640798052265 -0.305534127033194 0.330196247694261 1.43118678157931 -0.345835117785507 0.387604853482449 0.558384164371276 0.564080229960391 0.378918268145478 0.27701649963355 -0.351896102792698 0.829509903154398 0.25905478240695 16.7 "high_rain" 2.87356463957978 0 0 0 0 1 0 0 0 0 0 0
"10" 0.357066591119629 -1.42011649004469 -1.04302173866526 1.39879766519055 -1.69674810819171 1.77112896980531 0.0507763395730552 -1.76072778695161 -1.71612956293091 -0.758687078570214 -1.29219090988164 -0.945955807719556 1.39938036752505 1.87846435090976 -0.413319058613249 0.2 "low_rain" 0.182321556793955 1 0 0 0 0 0 0 0 0 0 0
"11" 0.756358644944716 0.451737570585779 0.61692754738282 0.342730283426796 0.107437328327339 0.269432900571825 0.694176980795457 0.112217843034529 0.467654033239011 1.40412307228767 0.419318599190445 0.618935089456847 0.430487763743233 0.700853990861882 0.0720460867202729 0.2 "low_rain" 0.182321556793955 0 0 0 0 0 0 0 1 0 0 0
"12" -0.716178083391224 1.12617478942348 1.16111393860475 -0.170090540896207 0.465577576413636 -0.820398516270391 -0.523652396255706 0.552855300352644 0.347283064280977 -0.00981694884985507 1.11421586888212 1.14379266526033 -0.269391806923664 -0.272518048077621 -0.151347447003267 0.2 "low_rain" 0.182321556793955 0 0 0 0 0 0 1 0 0 0 0
